"var","n","wt","dev","yval","complexity","ncompete","nsurrogate","yval2.","yval2.","yval2.","yval2.","yval2.","yval2.nodeprob"
"V17",227846,227846,394,1,0.474619289,4,5,1.000000e+00,2.274520e+05,3.940000e+02,9.982708e-01,1.729238e-03,1.000000e+00
"V14",227493,227493,124,1,0.055837563,4,2,1.000000e+00,2.273690e+05,1.240000e+02,9.994549e-01,5.450717e-04,9.984507e-01
"V14",227463,227463, 98,1,0.017766497,4,5,1.000000e+00,2.273650e+05,9.800000e+01,9.995692e-01,4.308393e-04,9.983190e-01
"<leaf>",227267,227267, 66,1,0.000000000,0,0,1.000000e+00,2.272010e+05,6.600000e+01,9.997096e-01,2.904073e-04,9.974588e-01
"V10",   196,   196, 32,1,0.017766497,4,5,1.000000e+00,1.640000e+02,3.200000e+01,8.367347e-01,1.632653e-01,8.602302e-04
"<leaf>",   152,   152,  3,1,0.010000000,0,0,1.000000e+00,1.490000e+02,3.000000e+00,9.802632e-01,1.973684e-02,6.671173e-04
"V16",    44,    44, 15,2,0.017766497,4,5,2.000000e+00,1.500000e+01,2.900000e+01,3.409091e-01,6.590909e-01,1.931129e-04
"<leaf>",    11,    11,  0,1,0.010000000,0,0,1.000000e+00,1.100000e+01,0.000000e+00,1.000000e+00,0.000000e+00,4.827822e-05
"<leaf>",    33,    33,  4,2,0.000000000,0,0,2.000000e+00,4.000000e+00,2.900000e+01,1.212121e-01,8.787879e-01,1.448347e-04
"<leaf>",    30,    30,  4,2,0.002538071,0,0,2.000000e+00,4.000000e+00,2.600000e+01,1.333333e-01,8.666667e-01,1.316679e-04
"V10",   353,   353, 83,2,0.063451777,4,5,2.000000e+00,8.300000e+01,2.700000e+02,2.351275e-01,7.648725e-01,1.549292e-03
"<leaf>",    37,    37,  6,1,0.000000000,0,0,1.000000e+00,3.100000e+01,6.000000e+00,8.378378e-01,1.621622e-01,1.623904e-04
"V26",   316,   316, 52,2,0.025380711,4,5,2.000000e+00,5.200000e+01,2.640000e+02,1.645570e-01,8.354430e-01,1.386902e-03
"V27",   111,   111, 38,2,0.025380711,4,5,2.000000e+00,3.800000e+01,7.300000e+01,3.423423e-01,6.576577e-01,4.871712e-04
"<leaf>",    28,    28,  4,1,0.002538071,0,0,1.000000e+00,2.400000e+01,4.000000e+00,8.571429e-01,1.428571e-01,1.228900e-04
"V14",    83,    83, 14,2,0.015228426,4,5,2.000000e+00,1.400000e+01,6.900000e+01,1.686747e-01,8.313253e-01,3.642811e-04
"<leaf>",    12,    12,  3,1,0.010000000,0,0,1.000000e+00,9.000000e+00,3.000000e+00,7.500000e-01,2.500000e-01,5.266715e-05
"<leaf>",    71,    71,  5,2,0.000000000,0,0,2.000000e+00,5.000000e+00,6.600000e+01,7.042254e-02,9.295775e-01,3.116140e-04
"<leaf>",   205,   205, 14,2,0.006345178,0,0,2.000000e+00,1.400000e+01,1.910000e+02,6.829268e-02,9.317073e-01,8.997305e-04
